gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,PhoneService_flag,MultipleLines_flag,OnlineSecurity_flag,OnlineBackup_flag,DeviceProtection_flag,TechSupport_flag,StreamingTV_flag,StreamingMovies_flag,ServiceCount,tenure group,ChurnProbability,RevenueAtRisk,RetentionSegment,RecommendedAction
Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.0,2416.1,Yes,1,0,0,0,0,0,0,0,1,Below 3 years,0.52542126,1269.4703106045722,Medium Risk,Promote security service
Male,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.75,7382.85,No,1,1,0,1,0,1,1,1,6,oldest Customers,0.44169608,3260.975886400044,Medium Risk,Promote security service
Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15,Yes,1,0,0,0,0,0,1,0,2,Below 1 year,0.73289806,523.399147054553,High Risk - High Value,Priority retention offer
Female,Yes,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.25,25.25,Yes,0,0,0,0,0,0,0,0,0,Below 1 year,0.8305371,20.971061289310455,High Risk - New Customer,Onboarding intervention
Male,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.0,4414.3,Yes,1,1,0,1,1,0,1,1,6,Below 5 years,0.80055934,3533.909102982283,High Risk - High Value,Priority retention offer
Male,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.4,313.0,No,1,1,0,0,0,0,0,0,2,Below 3 years,0.06928197,21.68525753170252,Low Risk,Standard engagement
Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,1,0,0,0,0,1,1,4,Below 3 years,0.8392352,1470.8016262352467,High Risk - High Value,Priority retention offer
Male,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,107.05,2172.05,No,1,1,0,1,0,1,1,1,6,Below 3 years,0.6621423,1438.2061322450638,Medium Risk,Promote security service
Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,323.25,Yes,1,1,0,1,1,0,1,1,6,Below 1 year,0.84964406,274.64744397997856,High Risk - High Value,Priority retention offer
Female,No,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.5,270.15,No,1,1,0,0,0,0,0,0,2,Below 1 year,0.2997276,80.97140813916921,Low Risk,Promote long-term contract
Female,No,Yes,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.15,2583.75,No,1,1,0,0,0,0,0,0,2,Below 5 years,0.37429774,967.0917807519436,Low Risk,Promote security service
Female,No,No,No,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,58.5,539.85,Yes,0,0,1,0,1,1,1,1,5,Below 1 year,0.43301988,233.76578031778337,Medium Risk,Promote long-term contract
Male,No,No,No,No,No phone service,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),29.45,1983.15,No,0,0,0,0,0,1,0,0,1,oldest Customers,0.15478584,306.9635419741273,Low Risk,Promote security service
Female,No,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,75.3,75.3,Yes,1,0,0,0,1,0,0,0,2,Below 1 year,0.88644844,66.74956775307655,High Risk - High Value,Priority retention offer
Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.2,69.2,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.90427995,62.57617235183716,High Risk - New Customer,Onboarding intervention
Female,No,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.85,365.55,Yes,1,0,1,0,0,0,0,0,2,Below 1 year,0.60937685,222.75770669281482,Medium Risk,Offer technical support
Female,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.05,1764.75,No,1,1,0,0,0,0,0,0,2,oldest Customers,0.046218168,81.56351196113974,Low Risk,Standard engagement
Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,1,0,0,0,0,0,0,0,1,Below 5 years,0.049603272,48.28134502451867,Low Risk,Standard engagement
Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,896.75,Yes,1,1,0,0,0,0,0,0,2,Below 3 years,0.6499803,582.8698399662971,Medium Risk,Promote security service
Female,No,No,No,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,97.9,315.3,Yes,1,0,0,1,0,1,1,1,5,Below 1 year,0.84896433,267.67845436334613,High Risk - High Value,Priority retention offer
Male,No,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,1,0,1,1,0,0,1,0,4,Below 1 year,0.67827976,168.4846917629242,Medium Risk,Offer technical support
Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.8,198.25,No,1,0,0,0,0,0,0,0,1,Below 1 year,0.113232076,22.448259100317955,Low Risk,Standard engagement
Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.3,2890.65,Yes,1,1,0,0,1,1,1,1,6,Below 3 years,0.7522267,2174.4241401851177,High Risk - High Value,Priority retention offer
Male,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),104.5,6590.8,No,1,1,1,1,1,1,1,0,7,oldest Customers,0.33215073,2189.1390148758887,Low Risk,Standard engagement
Male,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.4,7318.2,Yes,1,1,0,1,1,1,1,1,7,oldest Customers,0.41793364,3058.521985208988,Medium Risk,Promote security service
Female,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,89.0,5898.6,No,1,1,1,1,0,1,0,0,5,oldest Customers,0.22176367,1308.09518648386,Low Risk,Standard engagement
Male,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.45,340.85,No,1,0,0,0,0,0,0,0,1,Below 3 years,0.28598866,97.47923430651427,Low Risk,Promote long-term contract
Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,819.4,Yes,1,1,0,0,1,0,1,1,5,Below 1 year,0.8892113,728.619736790657,High Risk - High Value,Priority retention offer
Female,Yes,No,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.7,392.5,No,1,0,0,1,0,0,1,0,3,Below 1 year,0.8655497,339.72825080156326,High Risk - High Value,Priority retention offer
Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.9,19.9,No,1,0,0,0,0,0,0,0,1,Below 1 year,0.55855143,11.115173470973968,Medium Risk,Promote long-term contract
Male,No,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.0,226.55,No,1,1,0,0,0,0,0,0,2,Below 1 year,0.36350504,82.35206582397223,Low Risk,Promote long-term contract
Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.4,1346.2,No,1,0,0,0,0,0,0,0,1,oldest Customers,0.048349705,65.08837232366204,Low Risk,Standard engagement
Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.45,158.4,Yes,1,1,0,0,0,0,0,0,2,Below 1 year,0.8353476,132.31905870437623,High Risk - High Value,Priority retention offer
Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,294.45,No,1,1,0,0,0,0,0,0,2,Below 1 year,0.8723183,256.85413151085373,High Risk - New Customer,Onboarding intervention
Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.75,1272.05,No,1,0,0,0,0,0,0,0,1,Below 5 years,0.046981324,59.762592571415006,Low Risk,Standard engagement
Female,No,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.9,3848.0,No,1,0,0,0,1,0,1,1,4,Below 5 years,0.54113847,2082.3008332252502,Medium Risk,Promote security service
Male,No,No,No,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,35.3,264.8,No,0,0,1,0,1,0,0,0,2,Below 1 year,0.16619033,44.007198381423954,Low Risk,Offer technical support
Female,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.45,1385.85,No,1,1,0,0,0,0,0,0,2,Below 5 years,0.05181697,71.81054802685975,Low Risk,Standard engagement
Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.15,3532.85,No,1,1,0,1,1,0,0,1,5,Below 5 years,0.655038,2314.150995308161,Medium Risk,Promote security service
Female,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.4,45.4,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.8148939,36.996183121204375,High Risk - New Customer,Onboarding intervention
Male,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.95,267.35,No,1,0,0,0,0,0,0,0,1,Below 1 year,0.26305264,70.32712393105031,Low Risk,Promote long-term contract
Female,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),66.75,4760.3,No,1,1,1,1,0,1,0,0,5,oldest Customers,0.061765224,294.0209945768118,Low Risk,Standard engagement
Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.65,2404.85,No,1,1,0,1,0,0,1,1,5,Below 3 years,0.74707067,1796.5929010570048,High Risk - High Value,Priority retention offer
Male,No,No,No,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,70.0,347.4,Yes,1,0,0,0,1,0,1,1,4,Below 1 year,0.44844276,155.78901382684705,Medium Risk,Promote security service
Male,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,1,1,1,0,0,1,0,5,Below 5 years,0.5713706,2993.3534450054167,Medium Risk,Offer technical support
Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.05,651.5,No,1,0,0,0,0,0,0,0,1,Below 1 year,0.77180797,502.83289155364037,High Risk - New Customer,Onboarding intervention
Female,No,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.15,2585.95,Yes,1,0,0,1,0,0,0,1,3,Below 3 years,0.5585633,1444.4167450159787,Medium Risk,Promote security service
Female,No,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.85,962.25,No,1,1,0,0,0,0,0,0,2,Below 5 years,0.10608576,102.08102485165,Low Risk,Standard engagement
Male,No,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.2,216.9,Yes,1,0,0,0,0,1,0,0,2,Below 1 year,0.6614228,143.46260295510294,Medium Risk,Promote security service
Female,Yes,No,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,0,0,1,0,0,1,1,4,Below 1 year,0.8582387,961.4848123073577,High Risk - High Value,Priority retention offer
Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,943.1,No,1,0,0,0,0,0,0,0,1,Below 5 years,0.09705944,91.53676125258208,Low Risk,Standard engagement
Male,Yes,No,No,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),69.1,2093.9,No,1,1,0,0,1,1,1,0,5,Below 3 years,0.1348999,282.4668992772699,Low Risk,Promote security service
Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,107.5,3242.5,No,1,1,0,1,1,1,1,1,7,Below 3 years,0.6614537,2144.7636997699738,Medium Risk,Promote security service
Female,No,No,No,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,56.1,1033.9,No,1,1,0,0,1,0,0,0,3,Below 3 years,0.41333082,427.34273808896546,Medium Risk,Promote security service
Male,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),75.35,75.35,No,1,0,0,0,1,0,0,0,2,Below 1 year,0.823055,62.01719642877578,High Risk - High Value,Priority retention offer
Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.75,324.6,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.8205207,266.3410189032555,High Risk - New Customer,Onboarding intervention
Male,No,No,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.4,5643.4,Yes,1,0,1,1,0,1,1,1,6,Below 5 years,0.4401977,2484.211735296249,Medium Risk,Standard engagement
Female,Yes,Yes,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,267.4,Yes,1,0,0,0,0,1,1,0,3,Below 1 year,0.79043436,211.3621479988098,High Risk - High Value,Priority retention offer
Female,No,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),55.65,3880.05,No,0,0,1,1,1,1,0,1,5,oldest Customers,0.05094007,197.65001977253706,Low Risk,Standard engagement
Male,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.4,743.5,No,1,0,0,0,0,0,0,0,1,Below 5 years,0.053469595,39.75464356131852,Low Risk,Standard engagement
Male,No,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,56.2,1567.55,No,1,0,1,1,0,0,0,0,3,Below 3 years,0.1294956,202.99083691313862,Low Risk,Offer technical support
Male,No,Yes,No,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,46.35,667.7,Yes,0,0,0,0,0,0,1,1,2,Below 3 years,0.716098,478.13864163756375,High Risk - General,Promote security service
Male,Yes,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.15,92.65,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.83950543,77.78017846345902,High Risk - New Customer,Onboarding intervention
Female,No,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.75,1836.9,No,1,1,0,0,0,0,0,0,2,oldest Customers,0.047308125,86.90029408112169,Low Risk,Standard engagement
Female,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,141.45,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.8863596,125.37556151747702,High Risk - New Customer,Onboarding intervention
Female,No,Yes,No,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,78.85,876.75,No,1,1,1,0,1,0,1,1,6,Below 3 years,0.28147882,246.7865573912859,Low Risk,Offer technical support
Female,No,Yes,No,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),65.25,3791.6,No,1,0,1,1,0,0,1,0,4,Below 5 years,0.27076468,1026.6313558220863,Low Risk,Offer technical support
Male,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.75,1859.1,No,1,1,0,0,0,0,0,0,2,oldest Customers,0.04643309,86.3237597823143,Low Risk,Standard engagement
Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.55,3734.25,Yes,1,1,0,0,0,1,1,1,5,Below 5 years,0.7485482,2795.2661519497633,High Risk - High Value,Priority retention offer
Male,No,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,74.05,2802.3,No,1,0,1,1,1,1,1,0,6,Below 5 years,0.21441075,600.8432504922152,Low Risk,Standard engagement
Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.903495,62.88325295448303,High Risk - New Customer,Onboarding intervention
Male,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.1,659.65,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.79536045,524.6595181882382,High Risk - New Customer,Onboarding intervention
Female,No,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,89.6,365.65,Yes,1,1,0,1,0,0,1,0,4,Below 1 year,0.7590725,277.5548532575369,High Risk - High Value,Priority retention offer
Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,102.1,6688.1,No,1,1,0,0,1,1,1,1,6,oldest Customers,0.47615796,3184.59207418561,Medium Risk,Promote security service
Female,No,Yes,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),84.4,5969.3,No,1,0,1,1,1,1,1,1,7,oldest Customers,0.056382615,336.564744431153,Low Risk,Standard engagement
Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.5,1328.15,No,1,0,0,0,0,0,0,0,1,oldest Customers,0.078897394,104.7875741597265,Low Risk,Standard engagement
Male,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,69.75,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.83285993,58.09198035299778,High Risk - New Customer,Onboarding intervention
Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.4,358.05,No,1,0,0,0,0,0,0,0,1,Below 3 years,0.061218582,21.919313318654897,Low Risk,Standard engagement
Male,Yes,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1501.75,No,1,1,0,0,0,0,0,0,2,oldest Customers,0.063741684,95.72407388687134,Low Risk,Standard engagement
Male,Yes,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.55,5794.65,Yes,1,1,1,0,1,0,1,1,6,Below 5 years,0.5039177,2920.0266660690304,Medium Risk,Offer technical support
Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,417.7,No,1,0,0,0,0,0,0,0,1,Below 3 years,0.19444163,81.21826945096254,Low Risk,Promote long-term contract
Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.25,327.45,Yes,1,0,0,0,0,0,0,0,1,Below 3 years,0.29182673,95.5586611032486,Low Risk,Promote long-term contract
Male,No,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),70.95,3629.2,No,1,1,1,0,0,1,0,1,5,Below 5 years,0.19192684,696.5408767223357,Low Risk,Standard engagement
Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.85,335.75,No,1,1,0,0,0,0,1,1,4,Below 1 year,0.901391,302.64203810691833,High Risk - High Value,Priority retention offer
Female,No,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,Yes,1,0,1,0,1,1,1,1,6,Below 3 years,0.7628643,1207.4234576374292,High Risk - High Value,Priority retention offer
Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.3,550.6,No,1,1,0,1,1,0,1,1,6,Below 1 year,0.8047812,443.11252789497377,High Risk - High Value,Priority retention offer
Male,No,No,No,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.0,7250.15,Yes,1,1,1,0,0,1,1,1,6,oldest Customers,0.22098224,1602.1543775506316,Low Risk,Standard engagement
Male,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.25,2344.5,No,1,1,1,1,0,1,0,1,6,Below 3 years,0.23789592,557.7469864860177,Low Risk,Standard engagement
Male,No,Yes,Yes,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,58.75,2203.1,No,1,0,1,0,1,1,0,0,4,Below 5 years,0.1283822,282.83883795738217,Low Risk,Standard engagement
Male,Yes,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),113.8,7845.8,No,1,1,1,1,1,1,1,1,8,oldest Customers,0.14514367,1138.7682282418014,Low Risk,Standard engagement
Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,19.85,No,1,0,0,0,0,0,0,0,1,Below 1 year,0.5357675,10.634984788298608,Medium Risk,Promote long-term contract
